SYMBOL,Yahoo_Symbol
NSE:NATIONALUM,NATIONALUM.NS
NSE:NAUKRI,NAUKRI.NS
NSE:NBCC,NBCC.NS
NSE:NCC,NCC.NS
NSE:NESTLEIND,NESTLEIND.NS
NSE:NHPC,NHPC.NS
NSE:NIFTY,NIFTY.NS
NSE:NIFTY1!,NIFTY1!.NS
NSE:NIFTYJR,NIFTYJR.NS
NSE:NIFTYNXT501!,NIFTYNXT501!.NS
NSE:NIFTY_MID_SELECT,NIFTY_MID_SELECT.NS
NSE:NMDC,NMDC.NS
NSE:NTPC,NTPC.NS
NSE:NYKAA,NYKAA.NS
NSE:OBEROIRLTY,OBEROIRLTY.NS
NSE:OFSS,OFSS.NS
NSE:OIL,OIL.NS
NSE:ONGC,ONGC.NS
NSE:PAGEIND,PAGEIND.NS
NSE:PATANJALI,PATANJALI.NS
NSE:PAYTM,PAYTM.NS
NSE:PEL,PEL.NS
NSE:PERSISTENT,PERSISTENT.NS
NSE:PETRONET,PETRONET.NS
NSE:PFC,PFC.NS
NSE:PHOENIXLTD,PHOENIXLTD.NS
NSE:PIDILITIND,PIDILITIND.NS
NSE:PIIND,PIIND.NS
NSE:PNB,PNB.NS
NSE:PNBHOUSING,PNBHOUSING.NS
NSE:POLICYBZR,POLICYBZR.NS
NSE:POLYCAB,POLYCAB.NS
NSE:POONAWALLA,POONAWALLA.NS
NSE:POWERGRID,POWERGRID.NS
NSE:PRESTIGE,PRESTIGE.NS
NSE:RAMCOCEM,RAMCOCEM.NS
NSE:RBLBANK,RBLBANK.NS
NSE:RECLTD,RECLTD.NS
NSE:RELIANCE,RELIANCE.NS
NSE:SAIL,SAIL.NS
NSE:SBICARD,SBICARD.NS
NSE:SBILIFE,SBILIFE.NS
NSE:SBIN,SBIN.NS
NSE:SHREECEM,SHREECEM.NS
NSE:SHRIRAMFIN,SHRIRAMFIN.NS
NSE:SIEMENS,SIEMENS.NS
NSE:SJVN,SJVN.NS
NSE:SOLARINDS,SOLARINDS.NS
NSE:SONACOMS,SONACOMS.NS
NSE:SRF,SRF.NS
NSE:SUNPHARMA,SUNPHARMA.NS
NSE:SUPREMEIND,SUPREMEIND.NS
NSE:SYNGENE,SYNGENE.NS
NSE:TATACHEM,TATACHEM.NS
NSE:TATACOMM,TATACOMM.NS
NSE:TATACONSUM,TATACONSUM.NS
NSE:TATAELXSI,TATAELXSI.NS
NSE:TATAMOTORS,TATAMOTORS.NS
NSE:TATAPOWER,TATAPOWER.NS
NSE:TATASTEEL,TATASTEEL.NS
NSE:TATATECH,TATATECH.NS
NSE:TCS,TCS.NS
NSE:TECHM,TECHM.NS
NSE:TIINDIA,TIINDIA.NS
NSE:TITAGARH,TITAGARH.NS
NSE:TITAN,TITAN.NS
NSE:TORNTPHARM,TORNTPHARM.NS
NSE:TORNTPOWER,TORNTPOWER.NS
NSE:TRENT,TRENT.NS
NSE:TVSMOTOR,TVSMOTOR.NS
NSE:ULTRACEMCO,ULTRACEMCO.NS
NSE:UNIONBANK,UNIONBANK.NS
NSE:UNITDSPR,UNITDSPR.NS
NSE:UPL,UPL.NS
NSE:VBL,VBL.NS
NSE:VEDL,VEDL.NS
NSE:VOLTAS,VOLTAS.NS
NSE:WIPRO,WIPRO.NS
NSE:YESBANK,YESBANK.NS
NSE:ZYDUSLIFE,ZYDUSLIFE.NS
NSEIX-NIFTY1!,^NSEI
SILVER,SILVER
SKILLING-US30,SKILLING-US30
SPREADEX-NIKKEI,SPREADEX-NIKKEI
SPREADEX-SPX,SPREADEX-SPX
SZSE-399330,SZSE-399330
USOIL,USOIL
VANTAGE-NAS100,VANTAGE-NAS100
